Sequence,TimeStep,Feature_0_0,Feature_0_1,Feature_1_0,Feature_1_1,Feature_2_0,Feature_2_1
14,5,44.0,79.0,154.0,-44.0,116.0,449.0
14,6,13.0,106.0,109.0,14.0,-151.0,455.0
15,0,-4.0,147.0,-54.0,232.0,305.0,359.0
15,1,-193.0,113.0,-295.0,168.0,-44.0,427.0
15,2,-121.0,174.0,-241.0,284.0,-52.0,365.0
15,3,-81.0,141.0,-169.0,215.0,-25.0,339.0
15,4,-118.0,101.0,81.0,3.0,240.0,442.0
15,5,40.0,66.0,146.0,-29.0,-177.0,463.0
15,6,-165.0,82.0,-69.0,49.0,-173.0,450.0
16,0,-51.0,158.0,-128.0,222.0,-18.0,310.0
16,1,-130.0,145.0,-196.0,167.0,-79.0,455.0
16,2,-133.0,173.0,-282.0,227.0,-58.0,410.0
16,3,-65.0,172.0,-158.0,230.0,-20.0,353.0
16,4,-142.0,121.0,89.0,-1.0,-129.0,436.0
16,5,38.0,53.0,127.0,-66.0,125.0,511.0
16,6,-164.0,101.0,-41.0,19.0,-149.0,495.0
17,0,-86.0,194.0,-41.0,165.0,-25.0,332.0
17,1,-121.0,158.0,-121.0,196.0,-104.0,430.0
17,2,-147.0,158.0,-285.0,233.0,-52.0,390.0
17,3,-70.0,157.0,-153.0,238.0,-72.0,354.0
17,4,-149.0,128.0,-143.0,3.0,203.0,452.0
17,5,58.0,42.0,152.0,-48.0,157.0,531.0
17,6,-68.0,126.0,54.0,50.0,173.0,508.0
18,0,-17.0,142.0,38.0,-23.0,8.0,298.0
18,1,-145.0,122.0,-226.0,152.0,-11.0,432.0
18,2,-82.0,170.0,-190.0,261.0,48.0,395.0
18,3,-40.0,147.0,-163.0,196.0,31.0,326.0
18,4,-143.0,126.0,-127.0,69.0,278.0,450.0
18,5,10.0,62.0,60.0,17.0,105.0,426.0
18,6,-152.0,105.0,-60.0,28.0,-144.0,450.0
19,0,-44.0,151.0,-140.0,213.0,282.0,402.0
19,1,-120.0,137.0,-121.0,130.0,-82.0,448.0
19,2,-122.0,167.0,-212.0,186.0,-79.0,426.0
19,3,-48.0,165.0,-158.0,238.0,-22.0,356.0
19,4,-19.0,80.0,71.0,-32.0,132.0,433.0
19,5,33.0,93.0,133.0,-7.0,99.0,472.0
19,6,-57.0,92.0,37.0,17.0,119.0,434.0
20,0,-51.0,162.0,-135.0,242.0,292.0,380.0
20,1,-149.0,137.0,-122.0,153.0,-46.0,452.0
20,2,-101.0,175.0,-211.0,241.0,-46.0,400.0
20,3,-85.0,175.0,-159.0,248.0,-34.0,364.0
20,4,-52.0,131.0,31.0,98.0,104.0,411.0
20,5,31.0,111.0,97.0,22.0,111.0,432.0
20,6,-78.0,126.0,34.0,45.0,-167.0,461.0
21,0,-48.0,158.0,-51.0,192.0,-1.0,296.0
21,1,-117.0,159.0,-220.0,204.0,-72.0,414.0
21,2,-123.0,175.0,-245.0,252.0,-51.0,406.0
21,3,-55.0,159.0,-140.0,231.0,-21.0,333.0
21,4,-116.0,116.0,-68.0,178.0,-123.0,437.0
21,5,-16.0,78.0,65.0,-17.0,143.0,461.0
21,6,-155.0,106.0,-53.0,35.0,166.0,483.0
22,0,-62.0,155.0,-97.0,202.0,-24.0,306.0
22,1,-203.0,116.0,-288.0,139.0,-127.0,428.0
22,2,-144.0,165.0,-279.0,240.0,-70.0,401.0
22,3,-88.0,145.0,-200.0,223.0,-40.0,345.0
22,4,-164.0,103.0,-166.0,211.0,146.0,440.0
22,5,168.0,-25.0,117.0,19.0,151.0,522.0
22,6,-165.0,77.0,-45.0,-9.0,117.0,489.0
23,0,-48.0,162.0,-80.0,194.0,-27.0,304.0
23,1,-120.0,155.0,-183.0,180.0,-74.0,454.0
23,2,-145.0,167.0,-269.0,238.0,-81.0,412.0
23,3,-56.0,169.0,-107.0,197.0,-5.0,346.0
23,4,-136.0,88.0,76.0,-6.0,-151.0,424.0
23,5,98.0,128.0,-5.0,-14.0,136.0,440.0
23,6,-141.0,99.0,-31.0,25.0,-124.0,496.0
24,0,-15.0,149.0,3.0,176.0,307.0,379.0
24,1,-133.0,139.0,-246.0,181.0,1.0,419.0
24,2,-138.0,163.0,-241.0,256.0,-39.0,369.0
24,3,-49.0,154.0,-73.0,182.0,31.0,312.0
24,4,-162.0,101.0,-90.0,26.0,248.0,450.0
24,5,25.0,66.0,114.0,-53.0,105.0,423.0
24,6,-155.0,99.0,-62.0,54.0,-139.0,452.0
25,0,-39.0,153.0,-72.0,223.0,284.0,377.0
25,1,-121.0,165.0,-246.0,231.0,-8.0,425.0
25,2,-113.0,165.0,-239.0,240.0,-63.0,403.0
25,3,-30.0,151.0,-74.0,197.0,-40.0,337.0
25,4,-26.0,110.0,71.0,-6.0,100.0,417.0
25,5,23.0,86.0,91.0,-10.0,-174.0,479.0
25,6,-159.0,113.0,-64.0,75.0,-152.0,441.0
26,0,-44.0,168.0,-12.0,188.0,5.0,305.0
26,1,-145.0,150.0,-231.0,188.0,-89.0,429.0
26,2,-104.0,178.0,-237.0,261.0,-27.0,400.0
26,3,-46.0,158.0,-119.0,229.0,-37.0,313.0
26,4,-141.0,128.0,-77.0,18.0,183.0,467.0
26,5,-64.0,62.0,38.0,-29.0,146.0,503.0
26,6,-176.0,118.0,-67.0,34.0,-150.0,478.0
27,0,-68.0,171.0,-147.0,231.0,283.0,426.0
27,1,-109.0,167.0,-184.0,275.0,-8.0,406.0
27,2,-100.0,181.0,-199.0,208.0,-39.0,419.0
27,3,-60.0,179.0,-102.0,233.0,-46.0,345.0
27,4,-24.0,83.0,89.0,0.0,138.0,449.0
27,5,52.0,80.0,143.0,5.0,-122.0,479.0
27,6,-93.0,138.0,45.0,118.0,-116.0,453.0
28,0,-39.0,166.0,-36.0,177.0,-15.0,320.0
28,1,-127.0,142.0,-178.0,180.0,-99.0,420.0
28,2,-85.0,168.0,-200.0,260.0,-34.0,364.0
28,3,-59.0,156.0,-171.0,216.0,-55.0,323.0
28,4,-146.0,134.0,-108.0,113.0,204.0,439.0
28,5,-4.0,101.0,94.0,-7.0,133.0,514.0
28,6,-139.0,123.0,-32.0,56.0,-154.0,459.0
29,0,-47.0,152.0,-86.0,193.0,283.0,388.0
29,1,-126.0,128.0,-168.0,161.0,-7.0,428.0
29,2,-124.0,168.0,-246.0,233.0,-58.0,407.0
29,3,-60.0,150.0,-157.0,222.0,-36.0,344.0
29,4,-126.0,118.0,91.0,18.0,91.0,424.0
29,5,11.0,100.0,95.0,6.0,105.0,449.0
29,6,-171.0,110.0,-59.0,60.0,-134.0,438.0
30,0,-28.0,177.0,-6.0,166.0,0.0,294.0
30,1,-129.0,164.0,-228.0,220.0,-88.0,425.0
30,2,-102.0,184.0,-229.0,233.0,-40.0,417.0
