Sequence,TimeStep,Feature_0_0,Feature_0_1,Feature_1_0,Feature_1_1,Feature_2_0,Feature_2_1
64,5,56.0,-50.0,92.0,17.0,138.0,459.0
64,6,-167.0,87.0,-53.0,41.0,-147.0,471.0
65,0,-52.0,142.0,-119.0,217.0,285.0,385.0
65,1,-181.0,136.0,-142.0,123.0,-72.0,447.0
65,2,-113.0,173.0,-219.0,263.0,-24.0,394.0
65,3,-113.0,171.0,-210.0,244.0,-61.0,390.0
65,4,-137.0,120.0,-82.0,154.0,115.0,427.0
65,5,39.0,90.0,107.0,-10.0,84.0,448.0
65,6,-67.0,118.0,47.0,74.0,-175.0,446.0
66,0,-56.0,143.0,-113.0,209.0,293.0,392.0
66,1,-112.0,167.0,-205.0,222.0,15.0,416.0
66,2,-142.0,175.0,-256.0,235.0,-67.0,387.0
66,3,-72.0,166.0,-158.0,239.0,-16.0,332.0
66,4,-72.0,116.0,35.0,49.0,235.0,466.0
66,5,188.0,-68.0,100.0,15.0,-82.0,485.0
66,6,-123.0,97.0,-24.0,55.0,-112.0,453.0
67,0,50.0,-25.0,76.0,129.0,301.0,385.0
67,1,-144.0,126.0,-246.0,164.0,-7.0,430.0
67,2,-91.0,170.0,-175.0,267.0,-22.0,365.0
67,3,-58.0,152.0,-115.0,214.0,33.0,320.0
67,4,-151.0,124.0,-112.0,105.0,260.0,452.0
67,5,161.0,-74.0,144.0,19.0,178.0,459.0
67,6,-158.0,103.0,-82.0,15.0,-125.0,452.0
68,0,-49.0,143.0,-103.0,227.0,293.0,419.0
68,1,-148.0,145.0,-221.0,184.0,19.0,410.0
68,2,-104.0,183.0,-212.0,226.0,-47.0,428.0
68,3,-66.0,167.0,-109.0,235.0,-28.0,326.0
68,4,183.0,-13.0,131.0,4.0,178.0,440.0
68,5,42.0,73.0,122.0,-23.0,-131.0,465.0
68,6,-147.0,94.0,-40.0,47.0,-119.0,449.0
69,0,-43.0,160.0,-57.0,214.0,-6.0,319.0
69,1,-137.0,160.0,-225.0,201.0,-65.0,408.0
69,2,-126.0,167.0,-263.0,267.0,-63.0,374.0
69,3,-68.0,171.0,-130.0,232.0,-33.0,310.0
69,4,-154.0,129.0,-131.0,150.0,172.0,435.0
69,5,-69.0,100.0,30.0,15.0,-165.0,465.0
69,6,-174.0,127.0,-96.0,95.0,-148.0,454.0
70,0,-29.0,165.0,-17.0,176.0,5.0,292.0
70,1,-187.0,128.0,-230.0,143.0,-133.0,474.0
70,2,-102.0,185.0,-246.0,278.0,-5.0,379.0
70,3,-58.0,162.0,-153.0,227.0,-17.0,352.0
70,4,-139.0,96.0,-84.0,-4.0,-90.0,428.0
70,5,20.0,14.0,142.0,-82.0,-169.0,484.0
70,6,-166.0,75.0,-28.0,18.0,-182.0,503.0
71,0,-39.0,157.0,-17.0,208.0,291.0,381.0
71,1,-136.0,140.0,-95.0,168.0,-126.0,461.0
71,2,-118.0,164.0,-245.0,225.0,-44.0,407.0
71,3,-37.0,161.0,-115.0,249.0,-38.0,384.0
71,4,-90.0,73.0,76.0,4.0,143.0,433.0
71,5,27.0,83.0,122.0,-34.0,103.0,461.0
71,6,-6.0,98.0,88.0,39.0,-152.0,480.0
72,0,-23.0,155.0,-66.0,211.0,55.0,310.0
72,1,-136.0,127.0,-139.0,133.0,-26.0,434.0
72,2,-76.0,153.0,-177.0,221.0,52.0,363.0
72,3,-54.0,154.0,-175.0,209.0,19.0,326.0
72,4,-124.0,130.0,-80.0,163.0,296.0,432.0
72,5,-8.0,82.0,68.0,4.0,227.0,487.0
72,6,-114.0,117.0,-13.0,34.0,231.0,487.0
73,0,-44.0,166.0,-35.0,168.0,0.0,296.0
73,1,-150.0,123.0,-257.0,159.0,-6.0,437.0
73,2,-133.0,157.0,-237.0,220.0,2.0,400.0
73,3,-61.0,139.0,-156.0,192.0,34.0,327.0
73,4,-153.0,106.0,-83.0,13.0,244.0,463.0
73,5,99.0,23.0,149.0,145.0,160.0,436.0
73,6,-180.0,109.0,-95.0,21.0,-117.0,456.0
74,0,-55.0,149.0,-93.0,203.0,-32.0,310.0
74,1,-157.0,144.0,-237.0,190.0,-144.0,459.0
74,2,-137.0,170.0,-254.0,237.0,-75.0,409.0
74,3,-72.0,160.0,-167.0,234.0,-50.0,363.0
74,4,-158.0,114.0,87.0,3.0,153.0,452.0
74,5,23.0,70.0,139.0,-22.0,105.0,497.0
74,6,-113.0,96.0,14.0,66.0,102.0,507.0
75,0,-67.0,164.0,-157.0,209.0,270.0,428.0
75,1,-118.0,157.0,-236.0,177.0,21.0,416.0
75,2,-149.0,154.0,-240.0,158.0,-68.0,392.0
75,3,-43.0,147.0,-127.0,199.0,-47.0,373.0
75,4,-20.0,106.0,50.0,17.0,252.0,461.0
75,5,67.0,51.0,191.0,-78.0,146.0,431.0
75,6,-115.0,114.0,-44.0,69.0,-107.0,452.0
76,0,-43.0,162.0,-14.0,184.0,-3.0,305.0
76,1,-109.0,164.0,-224.0,210.0,-57.0,411.0
76,2,-131.0,177.0,-250.0,272.0,-57.0,403.0
76,3,-49.0,162.0,-122.0,245.0,-34.0,316.0
76,4,-136.0,116.0,-160.0,242.0,-142.0,428.0
76,5,-52.0,71.0,43.0,-14.0,118.0,501.0
76,6,-170.0,132.0,-87.0,57.0,-149.0,463.0
77,0,-34.0,154.0,-67.0,234.0,-15.0,340.0
77,1,-115.0,154.0,-188.0,176.0,-93.0,426.0
77,2,-123.0,180.0,-255.0,253.0,-69.0,397.0
77,3,-47.0,165.0,-127.0,260.0,-52.0,334.0
77,4,-155.0,112.0,-97.0,31.0,160.0,469.0
77,5,5.0,62.0,105.0,-21.0,124.0,480.0
77,6,-183.0,112.0,-60.0,30.0,140.0,488.0
78,0,-30.0,169.0,65.0,-33.0,295.0,374.0
78,1,-128.0,146.0,-156.0,171.0,-85.0,459.0
78,2,-131.0,165.0,-250.0,230.0,-49.0,406.0
78,3,-56.0,172.0,-142.0,267.0,-7.0,354.0
78,4,-119.0,95.0,-22.0,-21.0,143.0,426.0
78,5,16.0,88.0,106.0,-14.0,116.0,489.0
78,6,-128.0,122.0,-17.0,50.0,122.0,437.0
79,0,-20.0,163.0,-53.0,213.0,295.0,389.0
79,1,-128.0,152.0,-227.0,162.0,34.0,406.0
79,2,-139.0,169.0,-256.0,225.0,-50.0,381.0
79,3,-53.0,154.0,-140.0,214.0,-19.0,333.0
79,4,-79.0,103.0,-2.0,76.0,131.0,406.0
79,5,26.0,72.0,112.0,-34.0,146.0,464.0
79,6,-157.0,102.0,-82.0,66.0,-98.0,445.0
80,0,-40.0,161.0,-44.0,173.0,27.0,315.0
80,1,-164.0,116.0,-208.0,147.0,-38.0,425.0
80,2,-127.0,153.0,-250.0,230.0,-15.0,389.0
80,3,-75.0,144.0,-179.0,198.0,-2.0,326.0
80,4,-135.0,118.0,-129.0,192.0,220.0,466.0
80,5,5.0,94.0,78.0,10.0,209.0,497.0
80,6,-141.0,105.0,-22.0,75.0,223.0,494.0
81,0,-10.0,156.0,-36.0,208.0,293.0,375.0
81,1,-123.0,145.0,-99.0,171.0,-103.0,440.0
81,2,-121.0,177.0,-231.0,250.0,-39.0,396.0
81,3,-52.0,171.0,-156.0,276.0,-25.0,366.0
81,4,-8.0,80.0,73.0,-20.0,155.0,451.0
81,5,52.0,76.0,143.0,-15.0,106.0,448.0
81,6,-26.0,103.0,63.0,24.0,-154.0,451.0
82,0,-34.0,156.0,-38.0,189.0,-4.0,318.0
82,1,-150.0,139.0,-274.0,195.0,-86.0,423.0
82,2,-89.0,158.0,-204.0,224.0,-26.0,389.0
82,3,-40.0,147.0,-114.0,242.0,-49.0,323.0
82,4,-123.0,136.0,-104.0,217.0,193.0,431.0
82,5,-60.0,75.0,23.0,-1.0,140.0,518.0
82,6,-183.0,120.0,-104.0,63.0,-154.0,476.0
83,0,-36.0,145.0,-80.0,206.0,-31.0,330.0
83,1,-105.0,147.0,-200.0,194.0,-91.0,429.0
83,2,-108.0,179.0,-238.0,216.0,-58.0,414.0
83,3,-55.0,150.0,-134.0,222.0,-56.0,347.0
83,4,-146.0,119.0,-134.0,207.0,166.0,440.0
83,5,-26.0,44.0,77.0,-51.0,150.0,507.0
83,6,-164.0,138.0,-61.0,49.0,-155.0,471.0
84,0,-62.0,127.0,-98.0,172.0,42.0,329.0
84,1,-140.0,111.0,-126.0,130.0,-19.0,423.0
84,2,-133.0,157.0,-275.0,219.0,15.0,397.0
84,3,-79.0,140.0,-176.0,217.0,14.0,337.0
84,4,-154.0,118.0,-127.0,57.0,265.0,461.0
84,5,6.0,90.0,78.0,8.0,210.0,480.0
84,6,-118.0,107.0,-7.0,27.0,223.0,488.0
85,0,-24.0,136.0,-19.0,172.0,302.0,380.0
85,1,-139.0,134.0,-177.0,143.0,-73.0,440.0
85,2,-126.0,163.0,-221.0,229.0,-14.0,393.0
85,3,-47.0,156.0,-154.0,241.0,-7.0,378.0
85,4,-125.0,132.0,91.0,1.0,174.0,441.0
85,5,9.0,122.0,85.0,27.0,95.0,449.0
85,6,-137.0,121.0,-14.0,68.0,129.0,425.0
86,0,-84.0,159.0,-81.0,165.0,-20.0,295.0
86,1,-163.0,123.0,-226.0,138.0,-47.0,451.0
86,2,-137.0,140.0,-269.0,223.0,-21.0,392.0
86,3,-114.0,130.0,-203.0,186.0,-2.0,336.0
86,4,-159.0,103.0,-169.0,162.0,219.0,449.0
86,5,-87.0,74.0,33.0,12.0,117.0,462.0
86,6,-153.0,101.0,-40.0,28.0,210.0,504.0
87,0,-12.0,204.0,47.0,-28.0,-27.0,366.0
87,1,-168.0,143.0,-84.0,90.0,-140.0,463.0
87,2,-26.0,179.0,-23.0,210.0,3.0,367.0
87,3,-87.0,175.0,-201.0,241.0,-106.0,378.0
87,4,-112.0,172.0,-260.0,221.0,303.0,410.0
87,5,-84.0,23.0,17.0,-55.0,178.0,499.0
87,6,23.0,65.0,124.0,-24.0,170.0,506.0
88,0,-54.0,138.0,-140.0,196.0,282.0,399.0
88,1,-138.0,129.0,-152.0,170.0,-36.0,451.0
88,2,-109.0,166.0,-222.0,209.0,-57.0,413.0
88,3,-68.0,156.0,-169.0,222.0,-14.0,366.0
88,4,-59.0,78.0,76.0,11.0,97.0,418.0
88,5,33.0,71.0,112.0,-33.0,-142.0,455.0
88,6,-102.0,115.0,34.0,54.0,-135.0,453.0
89,0,-7.0,144.0,-11.0,198.0,291.0,391.0
89,1,-133.0,142.0,-145.0,141.0,-103.0,467.0
89,2,-128.0,166.0,-232.0,208.0,-55.0,420.0
89,3,-42.0,160.0,-154.0,236.0,-20.0,375.0
89,4,-48.0,93.0,13.0,-31.0,128.0,433.0
89,5,21.0,108.0,111.0,-22.0,91.0,490.0
89,6,-56.0,119.0,35.0,50.0,112.0,435.0
90,0,-43.0,158.0,-60.0,214.0,-14.0,322.0
90,1,-165.0,139.0,-146.0,113.0,-139.0,461.0
90,2,-23.0,132.0,-97.0,210.0,-23.0,350.0
90,3,-94.0,165.0,-233.0,240.0,-82.0,365.0
90,4,-124.0,164.0,-203.0,178.0,231.0,426.0
90,5,0.0,70.0,108.0,-37.0,156.0,513.0
90,6,-101.0,112.0,13.0,43.0,131.0,500.0
91,0,-50.0,171.0,-113.0,245.0,1.0,315.0
91,1,-163.0,137.0,-260.0,155.0,-75.0,442.0
91,2,-137.0,174.0,-281.0,238.0,-49.0,417.0
91,3,-69.0,169.0,-170.0,237.0,-11.0,338.0
91,4,-137.0,77.0,-30.0,-38.0,153.0,442.0
91,5,207.0,-93.0,135.0,22.0,178.0,503.0
91,6,-172.0,88.0,-51.0,-13.0,-162.0,483.0
92,0,-73.0,156.0,-129.0,219.0,276.0,369.0
92,1,-137.0,111.0,-167.0,116.0,-33.0,428.0
92,2,-137.0,167.0,-251.0,221.0,-112.0,402.0
92,3,-89.0,163.0,-173.0,214.0,-32.0,334.0
92,4,6.0,98.0,96.0,-13.0,70.0,427.0
92,5,-10.0,121.0,102.0,19.0,-197.0,450.0
92,6,-155.0,107.0,-5.0,64.0,-161.0,449.0
93,0,-43.0,164.0,-4.0,181.0,-5.0,302.0
93,1,-117.0,142.0,-234.0,201.0,-92.0,430.0
93,2,-117.0,185.0,-249.0,234.0,-69.0,415.0
93,3,-51.0,159.0,-74.0,185.0,-42.0,309.0
93,4,-42.0,93.0,29.0,10.0,158.0,481.0
93,5,17.0,81.0,129.0,-29.0,110.0,499.0
93,6,-176.0,125.0,-83.0,61.0,-175.0,475.0
94,0,-31.0,152.0,-81.0,199.0,-35.0,334.0
94,1,-157.0,132.0,-211.0,169.0,-118.0,431.0
94,2,-109.0,171.0,-230.0,240.0,-94.0,385.0
94,3,-81.0,163.0,-185.0,227.0,-61.0,324.0
94,4,-171.0,113.0,-147.0,111.0,122.0,437.0
94,5,-83.0,61.0,43.0,-6.0,126.0,489.0
94,6,-173.0,104.0,-51.0,6.0,-178.0,454.0
95,0,-98.0,145.0,-156.0,188.0,252.0,377.0
95,1,-128.0,132.0,-180.0,153.0,-22.0,416.0
95,2,-149.0,156.0,-226.0,198.0,-122.0,405.0
95,3,-94.0,171.0,-193.0,235.0,-37.0,325.0
95,4,-8.0,103.0,91.0,17.0,61.0,438.0
95,5,6.0,81.0,82.0,13.0,-159.0,443.0
95,6,-164.0,99.0,-62.0,58.0,-154.0,430.0
96,0,-34.0,159.0,-40.0,229.0,-17.0,297.0
96,1,-125.0,144.0,-203.0,189.0,-98.0,437.0
96,2,-96.0,172.0,-207.0,279.0,-40.0,388.0
96,3,-39.0,161.0,-124.0,250.0,-31.0,355.0
96,4,-138.0,124.0,-134.0,233.0,181.0,446.0
96,5,19.0,87.0,86.0,-22.0,124.0,500.0
96,6,-157.0,99.0,-41.0,7.0,144.0,489.0
97,0,-31.0,164.0,-28.0,195.0,8.0,297.0
97,1,-115.0,142.0,-189.0,178.0,-92.0,424.0
97,2,-104.0,172.0,-218.0,224.0,-48.0,400.0
97,3,-37.0,159.0,-82.0,208.0,-39.0,321.0
97,4,-122.0,119.0,-148.0,251.0,153.0,453.0
97,5,-35.0,75.0,57.0,-17.0,-168.0,474.0
97,6,-172.0,94.0,-64.0,39.0,-173.0,462.0
98,0,-51.0,165.0,-131.0,212.0,297.0,406.0
98,1,-118.0,156.0,-231.0,175.0,20.0,413.0
98,2,-113.0,174.0,-234.0,205.0,-53.0,387.0
98,3,-48.0,160.0,-125.0,203.0,-27.0,346.0
98,4,10.0,76.0,133.0,-65.0,155.0,428.0
98,5,56.0,84.0,158.0,-33.0,125.0,447.0
98,6,-115.0,110.0,-40.0,36.0,-105.0,458.0
99,0,-64.0,154.0,-105.0,223.0,277.0,419.0
99,1,-111.0,130.0,-123.0,145.0,0.0,438.0
99,2,-107.0,178.0,-230.0,234.0,-56.0,407.0
99,3,-68.0,169.0,-156.0,256.0,-43.0,357.0
99,4,-71.0,112.0,77.0,-2.0,110.0,428.0
99,5,46.0,79.0,153.0,-32.0,-121.0,485.0
99,6,-94.0,122.0,26.0,39.0,-117.0,479.0
100,0,-69.0,162.0,-139.0,236.0,-26.0,322.0
100,1,-130.0,160.0,-240.0,197.0,-52.0,430.0
100,2,-152.0,160.0,-246.0,178.0,-108.0,429.0
100,3,-67.0,165.0,-150.0,246.0,-19.0,337.0
100,4,-39.0,53.0,56.0,-55.0,-157.0,438.0
100,5,47.0,13.0,46.0,14.0,144.0,505.0
100,6,-165.0,123.0,-76.0,55.0,-132.0,493.0
101,0,-51.0,168.0,-24.0,174.0,-4.0,302.0
101,1,-144.0,148.0,-229.0,175.0,-75.0,420.0
101,2,-131.0,176.0,-253.0,259.0,-62.0,405.0
101,3,-63.0,164.0,-119.0,213.0,-21.0,337.0
101,4,-169.0,109.0,-94.0,18.0,-146.0,428.0
101,5,15.0,84.0,95.0,-31.0,123.0,471.0
101,6,-176.0,115.0,-92.0,61.0,167.0,502.0
102,0,-79.0,149.0,-157.0,231.0,275.0,393.0
102,1,-181.0,133.0,-155.0,154.0,-77.0,445.0
102,2,-103.0,173.0,-198.0,223.0,-39.0,366.0
102,3,-107.0,164.0,-206.0,230.0,-78.0,399.0
102,4,-58.0,123.0,24.0,146.0,123.0,416.0
102,5,-6.0,107.0,75.0,13.0,104.0,445.0
102,6,-116.0,106.0,12.0,47.0,-175.0,439.0
103,0,-70.0,131.0,-156.0,235.0,-9.0,302.0
103,1,-187.0,112.0,-120.0,100.0,-22.0,415.0
103,2,-142.0,162.0,-263.0,254.0,19.0,380.0
103,3,-100.0,171.0,-207.0,234.0,12.0,329.0
103,4,-158.0,134.0,-108.0,81.0,261.0,442.0
103,5,-20.0,79.0,75.0,-40.0,223.0,478.0
103,6,-122.0,94.0,-20.0,51.0,232.0,478.0
104,0,-34.0,157.0,-65.0,217.0,-3.0,304.0
104,1,-133.0,150.0,-228.0,211.0,-87.0,430.0
104,2,-113.0,185.0,-234.0,250.0,-55.0,419.0
104,3,-51.0,171.0,-122.0,234.0,-39.0,312.0
104,4,-145.0,118.0,-64.0,-1.0,168.0,465.0
104,5,22.0,66.0,116.0,-52.0,140.0,521.0
104,6,-163.0,131.0,-61.0,48.0,-153.0,482.0
105,0,-69.0,158.0,-149.0,229.0,-14.0,315.0
105,1,-157.0,130.0,-233.0,137.0,-76.0,462.0
105,2,-144.0,175.0,-286.0,245.0,-66.0,421.0
105,3,-76.0,152.0,-198.0,222.0,-2.0,349.0
105,4,-116.0,28.0,80.0,14.0,-139.0,439.0
105,5,38.0,69.0,131.0,-38.0,-187.0,485.0
105,6,-164.0,102.0,-41.0,20.0,-150.0,496.0
106,0,-63.0,175.0,-10.0,204.0,-21.0,327.0
106,1,-135.0,168.0,-170.0,248.0,-157.0,464.0
106,2,-99.0,166.0,-192.0,283.0,-52.0,386.0
106,3,-66.0,152.0,-120.0,264.0,-104.0,353.0
106,4,-157.0,121.0,-130.0,203.0,167.0,445.0
106,5,160.0,-44.0,181.0,2.0,231.0,530.0
106,6,-97.0,84.0,9.0,22.0,128.0,503.0
107,0,-48.0,145.0,-114.0,224.0,-21.0,324.0
107,1,-135.0,140.0,-197.0,179.0,-88.0,445.0
107,2,-168.0,166.0,-296.0,230.0,-86.0,422.0
107,3,-68.0,168.0,-176.0,249.0,-29.0,354.0
107,4,86.0,7.0,128.0,114.0,131.0,451.0
107,5,29.0,51.0,145.0,-66.0,115.0,522.0
107,6,-167.0,104.0,-42.0,25.0,-170.0,499.0
108,0,-30.0,150.0,-44.0,194.0,295.0,380.0
108,1,-143.0,125.0,-164.0,133.0,-40.0,455.0
108,2,-121.0,171.0,-235.0,248.0,-42.0,404.0
108,3,-76.0,34.0,-52.0,157.0,-12.0,375.0
108,4,-99.0,102.0,76.0,12.0,85.0,413.0
108,5,8.0,53.0,51.0,17.0,-154.0,449.0
108,6,-91.0,72.0,72.0,14.0,-158.0,450.0
109,0,-80.0,153.0,-164.0,194.0,265.0,389.0
109,1,-179.0,125.0,-135.0,141.0,-54.0,444.0
109,2,-111.0,156.0,-204.0,206.0,-55.0,360.0
109,3,-92.0,156.0,-206.0,211.0,-61.0,370.0
109,4,-43.0,141.0,44.0,69.0,112.0,411.0
109,5,1.0,108.0,86.0,-8.0,90.0,425.0
109,6,-133.0,88.0,-20.0,39.0,-177.0,461.0
110,0,-45.0,155.0,-71.0,211.0,-15.0,307.0
110,1,-163.0,151.0,-217.0,170.0,-118.0,480.0
110,2,-128.0,175.0,-247.0,243.0,-49.0,393.0
110,3,-72.0,171.0,-191.0,246.0,-21.0,360.0
110,4,-157.0,104.0,-163.0,244.0,-124.0,430.0
110,5,42.0,69.0,128.0,-77.0,-162.0,460.0
110,6,-151.0,97.0,-18.0,29.0,-177.0,500.0
111,0,-90.0,147.0,-163.0,203.0,256.0,442.0
111,1,-135.0,144.0,-232.0,164.0,-1.0,435.0
111,2,-158.0,157.0,-284.0,190.0,-75.0,398.0
111,3,-66.0,151.0,-154.0,200.0,-50.0,376.0
111,4,-37.0,103.0,40.0,19.0,249.0,471.0
111,5,39.0,61.0,126.0,-49.0,-137.0,464.0
111,6,-123.0,104.0,-59.0,12.0,-116.0,461.0
112,0,-46.0,167.0,-34.0,187.0,-23.0,325.0
112,1,-132.0,138.0,-112.0,222.0,-107.0,428.0
112,2,-67.0,168.0,-168.0,244.0,-33.0,377.0
112,3,-38.0,161.0,-131.0,244.0,-60.0,335.0
112,4,-138.0,144.0,-114.0,70.0,196.0,458.0
112,5,-11.0,78.0,97.0,-39.0,157.0,508.0
112,6,-106.0,127.0,18.0,46.0,161.0,495.0
113,0,-1.0,174.0,62.0,-34.0,58.0,297.0
113,1,-150.0,131.0,-213.0,153.0,-36.0,434.0
113,2,-78.0,138.0,-184.0,218.0,19.0,357.0
113,3,-60.0,145.0,-165.0,201.0,16.0,328.0
113,4,-155.0,130.0,-127.0,136.0,263.0,428.0
113,5,18.0,89.0,51.0,13.0,201.0,497.0
113,6,-141.0,113.0,-27.0,44.0,201.0,500.0
114,0,-46.0,158.0,-70.0,217.0,-9.0,308.0
114,1,-128.0,163.0,-248.0,220.0,-58.0,409.0
114,2,-123.0,179.0,-252.0,227.0,-70.0,418.0
114,3,-49.0,164.0,-36.0,180.0,-36.0,311.0
114,4,-88.0,78.0,-17.0,-21.0,-143.0,446.0
114,5,15.0,79.0,113.0,-24.0,122.0,493.0
114,6,-171.0,116.0,-93.0,80.0,-141.0,464.0
115,0,-52.0,144.0,-80.0,189.0,-23.0,316.0
115,1,-95.0,157.0,-188.0,234.0,-59.0,408.0
115,2,-125.0,167.0,-233.0,214.0,-104.0,427.0
115,3,-39.0,149.0,-78.0,220.0,-22.0,333.0
115,4,-28.0,82.0,47.0,3.0,-156.0,447.0
115,5,-3.0,85.0,90.0,-19.0,128.0,495.0
115,6,-138.0,136.0,-71.0,114.0,-137.0,457.0
116,0,-40.0,162.0,-57.0,190.0,-20.0,297.0
116,1,-168.0,151.0,-246.0,190.0,-121.0,457.0
116,2,-146.0,161.0,-283.0,234.0,-52.0,392.0
116,3,-73.0,145.0,-171.0,208.0,-34.0,359.0
116,4,-156.0,114.0,-54.0,7.0,-123.0,429.0
116,5,35.0,65.0,125.0,-58.0,-181.0,455.0
116,6,-161.0,110.0,-48.0,31.0,-189.0,480.0
117,0,-49.0,153.0,-98.0,228.0,300.0,427.0
117,1,-154.0,135.0,-178.0,142.0,15.0,454.0
117,2,-111.0,178.0,-228.0,243.0,-36.0,420.0
117,3,-73.0,165.0,-174.0,231.0,-35.0,366.0
117,4,-86.0,91.0,-27.0,-23.0,131.0,426.0
117,5,34.0,74.0,103.0,-47.0,-128.0,489.0
117,6,-127.0,119.0,-49.0,63.0,-108.0,468.0
118,0,-55.0,156.0,-75.0,200.0,-16.0,317.0
118,1,-114.0,157.0,-229.0,205.0,-85.0,411.0
118,2,-131.0,173.0,-251.0,236.0,-91.0,397.0
118,3,-59.0,158.0,-133.0,224.0,-41.0,302.0
118,4,-141.0,100.0,-65.0,41.0,145.0,439.0
118,5,161.0,-8.0,132.0,23.0,163.0,485.0
118,6,-165.0,96.0,-51.0,12.0,-180.0,436.0
119,0,-37.0,160.0,-57.0,214.0,-10.0,301.0
119,1,-134.0,155.0,-186.0,191.0,-114.0,446.0
119,2,-79.0,181.0,-139.0,259.0,-26.0,398.0
119,3,-39.0,161.0,-118.0,234.0,-45.0,311.0
119,4,-131.0,144.0,-83.0,55.0,187.0,462.0
119,5,66.0,75.0,164.0,-19.0,127.0,501.0
119,6,-131.0,98.0,8.0,37.0,-186.0,481.0
120,0,-27.0,157.0,-117.0,197.0,284.0,410.0
120,1,-131.0,149.0,-221.0,158.0,26.0,407.0
120,2,-132.0,170.0,-253.0,203.0,-67.0,390.0
120,3,-37.0,146.0,-126.0,194.0,-30.0,351.0
120,4,-120.0,85.0,88.0,2.0,120.0,410.0
120,5,63.0,79.0,184.0,-39.0,142.0,454.0
120,6,-128.0,112.0,-61.0,92.0,-97.0,460.0
121,0,-37.0,154.0,-77.0,206.0,-27.0,311.0
121,1,-129.0,163.0,-219.0,165.0,-96.0,438.0
121,2,-116.0,174.0,-239.0,235.0,-62.0,403.0
121,3,-31.0,157.0,-124.0,244.0,-52.0,329.0
121,4,-149.0,126.0,-133.0,226.0,164.0,453.0
121,5,19.0,89.0,97.0,-27.0,159.0,526.0
121,6,-145.0,116.0,-41.0,6.0,-156.0,468.0
122,0,-45.0,164.0,-99.0,222.0,-7.0,312.0
122,1,-145.0,164.0,-257.0,201.0,-66.0,413.0
122,2,-138.0,177.0,-257.0,211.0,-80.0,422.0
122,3,-40.0,155.0,-96.0,216.0,-8.0,333.0
122,4,30.0,74.0,125.0,-30.0,130.0,458.0
122,5,60.0,83.0,158.0,0.0,108.0,477.0
122,6,-153.0,115.0,-44.0,40.0,147.0,502.0
123,0,-36.0,157.0,-75.0,205.0,293.0,410.0
123,1,-108.0,157.0,-227.0,154.0,36.0,406.0
123,2,-122.0,174.0,-251.0,196.0,-60.0,394.0
123,3,-30.0,169.0,-99.0,209.0,-17.0,352.0
123,4,-97.0,90.0,89.0,7.0,129.0,424.0
123,5,32.0,82.0,121.0,-44.0,148.0,453.0
123,6,-127.0,109.0,-74.0,28.0,-107.0,449.0
124,0,-45.0,156.0,-81.0,210.0,289.0,399.0
124,1,-136.0,136.0,-163.0,164.0,-40.0,459.0
124,2,-105.0,173.0,-221.0,237.0,-27.0,400.0
124,3,-58.0,164.0,-158.0,232.0,-38.0,393.0
124,4,-145.0,95.0,-113.0,185.0,111.0,425.0
124,5,-57.0,-3.0,46.0,81.0,-123.0,482.0
124,6,-100.0,113.0,19.0,27.0,-135.0,454.0
125,0,-46.0,161.0,-61.0,194.0,2.0,307.0
125,1,-109.0,162.0,-185.0,238.0,-73.0,412.0
125,2,-103.0,178.0,-225.0,246.0,-44.0,414.0
125,3,-54.0,174.0,-143.0,255.0,-34.0,310.0
125,4,-126.0,120.0,-75.0,11.0,158.0,447.0
125,5,19.0,81.0,115.0,-26.0,126.0,453.0
125,6,-137.0,135.0,-30.0,94.0,-145.0,462.0
126,0,-30.0,161.0,-107.0,225.0,273.0,428.0
126,1,-104.0,157.0,-126.0,171.0,-87.0,461.0
126,2,-110.0,160.0,-185.0,180.0,-78.0,445.0
126,3,-44.0,173.0,-159.0,225.0,-26.0,363.0
126,4,39.0,69.0,132.0,-64.0,132.0,437.0
126,5,49.0,85.0,183.0,-41.0,116.0,492.0
126,6,-26.0,82.0,75.0,-1.0,133.0,440.0
127,0,-31.0,152.0,-32.0,153.0,-14.0,319.0
127,1,-115.0,150.0,-227.0,194.0,-88.0,416.0
127,2,-117.0,183.0,-252.0,218.0,-60.0,410.0
127,3,-31.0,152.0,-111.0,230.0,-48.0,308.0
127,4,-155.0,99.0,-52.0,12.0,170.0,467.0
127,5,-1.0,101.0,0.0,102.0,135.0,504.0
127,6,-172.0,123.0,-102.0,55.0,-161.0,453.0
128,0,-43.0,160.0,-84.0,224.0,290.0,392.0
128,1,-100.0,169.0,-189.0,185.0,0.0,407.0
128,2,-123.0,171.0,-254.0,233.0,-65.0,389.0
128,3,-34.0,159.0,-110.0,221.0,-32.0,338.0
128,4,-118.0,96.0,85.0,4.0,124.0,423.0
128,5,63.0,87.0,169.0,-13.0,124.0,445.0
128,6,-108.0,137.0,-4.0,103.0,-124.0,443.0
129,0,-81.0,159.0,-172.0,212.0,272.0,386.0
129,1,-158.0,139.0,-92.0,111.0,-62.0,458.0
129,2,-134.0,144.0,-145.0,189.0,-108.0,411.0
129,3,-101.0,171.0,-198.0,224.0,-46.0,382.0
129,4,16.0,103.0,99.0,17.0,119.0,427.0
129,5,50.0,94.0,154.0,-19.0,104.0,442.0
129,6,8.0,119.0,105.0,18.0,-169.0,451.0
130,0,-40.0,150.0,-99.0,180.0,284.0,381.0
