Output Folder,Use File,X0,Y0,X1,Y1,X2,Y2
output121,use1,562.58823529,669.43315508,755.61497326,585.24064171,507.14438503,1030.84491979
output121,use2,404.47058824,761.83957219,371.61497326,716.6631016,488.6631016,1080.12834225
output121,use3,389.0,854.0,305.0,905.0,446.0,1025.0
output121,use4,445.54010695,846.03208556,340.81283422,924.06417112,445.54010695,1071.9144385
output121,use5,466.0,793.0,352.0,847.0,491.0,1028.0
output121,use6,685.79679144,636.57754011,852.12834225,494.88770053,507.14438503,1049.32620321
output122,use0,706.3315508,642.73796791,932.21390374,517.47593583,540.0,1053.43315508
output122,use1,552.32085561,677.64705882,769.98930481,568.81283422,500.98395722,1076.02139037
output122,use2,425.00534759,747.46524064,369.56149733,747.46524064,515.35828877,1047.27272727
output122,use3,385.0,838.0,291.0,895.0,446.0,1025.0
output122,use4,422.95187166,843.97860963,318.22459893,917.90374332,455.80748663,1071.9144385
output122,use5,441.43315508,821.39037433,307.95721925,813.17647059,521.51871658,1053.43315508
output122,use6,700.17112299,673.54010695,848.02139037,498.99465241,540.0,1061.64705882
output123,use0,743.29411765,683.80748663,909.62566845,562.65240642,525.62566845,1043.1657754
output123,use1,644.72727273,692.02139037,821.32620321,603.72192513,540.0,1030.84491979
output123,use2,433.21925134,751.57219251,533.83957219,665.32620321,488.6631016,1034.95187166
output123,use3,422.95187166,809.06951872,182.69518717,846.03208556,461.96791444,1049.32620321
output123,use4,407.0,855.0,334.0,922.0,750.0,1080.0
output123,use5,445.0,801.0,311.0,858.0,491.0,1028.0
output123,use6,581.06951872,677.64705882,774.09625668,554.43850267,529.73262032,1012.36363636
output124,use0,743.29411765,659.1657754,891.14438503,498.99465241,552.32085561,1049.32620321
output124,use1,607.76470588,679.70053476,798.73796791,572.9197861,552.32085561,1016.47058824
output124,use2,422.95187166,751.57219251,459.9144385,687.9144385,466.07486631,1034.95187166
output124,use3,415.0,811.0,301.0,866.0,446.0,1025.0
output124,use4,405.0,844.0,321.0,885.0,750.0,1080.0
output124,use5,435.0,824.0,342.0,874.0,491.0,1028.0
output124,use6,603.65775401,743.35828877,743.29411765,577.02673797,540.0,1030.84491979
output125,use0,751.50802139,677.64705882,872.6631016,513.36898396,535.89304813,1047.27272727
output125,use1,632.40641711,679.70053476,821.32620321,558.54545455,521.51871658,1028.79144385
output125,use2,447.59358289,772.10695187,466.07486631,692.02139037,498.93048128,1076.02139037
output125,use3,395.0,836.0,321.0,909.0,446.0,1025.0
output125,use4,407.0,862.0,323.0,942.0,750.0,1080.0
output125,use5,436.0,803.0,326.0,869.0,491.0,1028.0
output125,use6,607.76470588,743.35828877,706.3315508,577.02673797,511.2513369,1071.9144385
output126,use0,720.70588235,669.43315508,901.41176471,511.31550802,525.62566845,1071.9144385
output126,use1,613.92513369,714.60962567,774.09625668,581.13368984,496.87700535,1071.9144385
output126,use2,418.84491979,757.73262032,511.2513369,706.39572193,480.44919786,1053.43315508
output126,use3,401.0,840.0,299.0,912.0,446.0,1025.0
output126,use4,404.0,845.0,321.0,942.0,750.0,1080.0
output126,use5,456.0,796.0,382.0,851.0,491.0,1028.0
output126,use6,626.2459893,683.80748663,790.52406417,494.88770053,521.51871658,1047.27272727
output127,use0,714.54545455,655.05882353,854.18181818,513.36898396,529.73262032,1024.68449198
output127,use1,587.0,690.0,715.0,631.0,528.0,1023.0
output127,use2,451.70053476,753.62566845,525.62566845,683.80748663,503.03743316,1112.98395722
output127,use3,417.0,790.0,318.0,856.0,446.0,1025.0
output127,use4,396.0,836.0,318.0,918.0,750.0,1080.0
output127,use5,427.0,835.0,332.0,885.0,491.0,1028.0
output127,use6,585.17647059,743.35828877,710.43850267,585.24064171,533.83957219,1053.43315508
output128,use0,755.61497326,679.70053476,903.46524064,480.51336898,548.21390374,1030.84491979
output128,use1,691.95721925,714.60962567,884.98395722,572.9197861,535.89304813,1080.12834225
output128,use2,470.18181818,765.94652406,566.69518717,669.43315508,517.41176471,1020.57754011
output128,use3,414.73796791,827.55080214,229.92513369,872.72727273,461.96791444,1047.27272727
output128,use4,433.21925134,864.51336898,256.62032086,942.54545455,461.96791444,1084.23529412
output128,use5,465.0,761.0,454.0,806.0,491.0,1028.0
output128,use6,687.85026738,669.43315508,854.18181818,511.31550802,544.10695187,1057.54010695
output129,use0,728.9197861,706.39572193,899.35828877,566.75935829,521.51871658,1061.64705882
output129,use1,558.48128342,714.60962567,739.18716578,622.20320856,521.51871658,1043.1657754
output129,use2,466.07486631,790.58823529,363.40106952,753.62566845,461.96791444,1061.64705882
output129,use3,406.52406417,839.87165775,277.15508021,965.13368984,466.07486631,1080.12834225
output129,use4,422.95187166,862.45989305,266.88770053,950.75935829,466.07486631,1049.32620321
output129,use5,474.28877005,809.06951872,359.29411765,776.21390374,515.35828877,1049.32620321
output129,use6,665.26203209,655.05882353,848.02139037,511.31550802,535.89304813,1039.05882353
output130,use0,700.17112299,679.70053476,909.62566845,529.79679144,535.89304813,1043.1657754
output130,use1,607.76470588,739.2513369,794.63101604,609.88235294,525.62566845,1047.27272727
output130,use2,446.0,758.0,436.0,794.0,485.0,1035.0
output130,use3,418.84491979,858.35294118,314.11764706,969.24064171,455.80748663,1053.43315508
output130,use4,441.43315508,839.87165775,351.0802139,928.17112299,433.21925134,1053.43315508
output130,use5,444.0,789.0,343.0,814.0,491.0,1028.0
output130,use6,687.85026738,640.68449198,850.07486631,455.87165775,515.35828877,1065.7540107
output131,use0,765.88235294,646.84491979,882.93048128,484.62032086,540.0,1061.64705882
output131,use1,628.29946524,677.64705882,802.84491979,566.75935829,533.83957219,1024.68449198
output131,use2,443.48663102,780.32085561,474.28877005,706.39572193,507.14438503,1047.27272727
output131,use3,425.00534759,850.13903743,295.63636364,946.65240642,484.55614973,1053.43315508
output131,use4,455.80748663,850.13903743,359.29411765,928.17112299,443.48663102,1057.54010695
output131,use5,409.0,809.0,299.0,882.0,491.0,1028.0
output131,use6,599.55080214,661.21925134,774.09625668,476.40641711,488.6631016,1065.7540107
output132,use0,747.40106952,650.95187166,884.98395722,474.35294118,554.37433155,1024.68449198
output132,use1,609.81818182,673.54010695,811.05882353,554.43850267,529.73262032,1049.32620321
output132,use2,447.59358289,770.05347594,443.48663102,665.32620321,492.77005348,1061.64705882
output132,use3,413.0,816.0,310.0,874.0,446.0,1025.0
output132,use4,433.21925134,872.72727273,367.50802139,946.65240642,466.07486631,1080.12834225
output132,use5,438.0,805.0,330.0,879.0,491.0,1028.0
output132,use6,654.99465241,642.73796791,825.43315508,462.03208556,515.35828877,1076.02139037
output133,use0,755.61497326,640.68449198,884.98395722,488.72727273,507.14438503,1076.02139037
output133,use1,669.36898396,687.9144385,854.18181818,562.65240642,529.73262032,1012.36363636
output133,use2,461.96791444,780.32085561,470.18181818,735.14438503,503.03743316,1065.7540107
output133,use3,434.0,825.0,330.0,935.0,446.0,1025.0
output133,use4,443.48663102,854.2459893,344.9197861,942.54545455,470.18181818,1053.43315508
output133,use5,433.21925134,790.58823529,322.3315508,788.53475936,507.14438503,1047.27272727
output133,use6,728.9197861,636.57754011,866.5026738,451.76470588,544.10695187,1043.1657754
output134,use0,753.56149733,655.05882353,901.41176471,492.8342246,552.32085561,1002.09625668
output134,use1,607.76470588,687.9144385,798.73796791,572.9197861,525.62566845,1024.68449198
output134,use2,448.0,749.0,437.0,787.0,485.0,1035.0
output134,use3,434.0,835.0,366.0,897.0,446.0,1025.0
output134,use4,466.07486631,809.06951872,344.9197861,905.5828877,474.28877005,1012.36363636
output134,use5,488.6631016,807.01604278,351.0802139,802.90909091,498.93048128,1071.9144385
output134,use6,737.13368984,659.1657754,903.46524064,494.88770053,525.62566845,1049.32620321
output135,use0,806.95187166,659.1657754,942.48128342,494.88770053,552.32085561,1006.20320856
output135,use1,677.5828877,706.39572193,887.03743316,562.65240642,525.62566845,1028.79144385
output135,use2,422.95187166,780.32085561,437.32620321,790.58823529,492.77005348,1061.64705882
output135,use3,418.84491979,827.55080214,293.5828877,950.75935829,451.70053476,1080.12834225
output135,use4,443.48663102,835.76470588,332.59893048,928.17112299,447.59358289,1065.7540107
output135,use5,455.80748663,780.32085561,293.5828877,772.10695187,496.87700535,1039.05882353
output135,use6,646.78074866,628.36363636,811.05882353,476.40641711,515.35828877,1043.1657754
output136,use0,737.13368984,605.77540107,887.03743316,457.92513369,507.14438503,1039.05882353
output136,use1,626.2459893,655.05882353,792.57754011,535.95721925,540.0,1047.27272727
output136,use2,459.9144385,751.57219251,381.88235294,724.87700535,503.03743316,1043.1657754
output136,use3,428.0,835.0,313.0,887.0,446.0,1025.0
output136,use4,455.80748663,831.65775401,318.22459893,891.20855615,474.28877005,1065.7540107
output136,use5,451.70053476,772.10695187,318.22459893,733.09090909,511.2513369,1043.1657754
output136,use6,654.99465241,650.95187166,850.07486631,474.35294118,535.89304813,1047.27272727
